,date,ticker,positive_avg,positive_std,negative_avg,negative_std,neutral_avg,neutral_std,sentiment_score_avg,sentiment_score_std,mention_count,Close,Volume,Return_1d,Return_5d,Return_tomorrow,Realized_volatility_5d,Log_Volume,Is_Return_tomorrow_positive
84,2021-02-05,GME,0.0969597812062539,0.15625722571235257,0.157582414526135,0.2347747706516793,0.7454578036562475,0.2555334298711097,-0.06062263331988112,0.30622490541177405,1272,15.942500114440918,325380000.0,0.1919626253787603,-0.8037846139761118,-0.05911871461033824,0.32523332256979864,19.60050429111863,0.0
85,2021-02-05,NOK,0.08703359033291534,0.09812433696903017,0.15470347851514812,0.22385623674335267,0.7582629178961118,0.21940290403729165,-0.0676698881822328,0.2670999327547049,30,3.7907023429870605,107577200.0,-0.034324763500229394,-0.07456135347200188,0.009478747506660223,0.06565319232948241,18.493719296623716,1.0
90,2021-02-08,AMC,0.08548111016435389,0.10382614769362455,0.1264252384523471,0.19695843081933656,0.7880936541642801,0.20006156318226748,-0.04094412828799323,0.24314677963829828,251,61.79999923706055,12817150.0,-0.09516842641678291,-0.5353383516010486,-0.11003235147263057,0.2074728866377858,16.36629475387062,0.0
91,2021-02-08,BB,0.13281457130472324,0.14600693126916053,0.06235289008378284,0.12544884646458565,0.8048325413188269,0.1951746676892344,0.07046168122094036,0.18978335306266358,43,13.760000228881836,37068900.0,0.040060521918651615,-0.05946684065301722,-0.023982552195994433,0.11760125734224129,17.42828892807293,0.0
92,2021-02-08,GME,0.08760791375362209,0.14305106304366733,0.13769233494085842,0.20538940553387564,0.77469975218338,0.23294176088306437,-0.050084421187236335,0.2665238529860376,601,15.0,102749200.0,-0.05911871461033824,-0.7333333333333334,-0.1614999771118164,0.3278480010955921,18.447801635154665,0.0
93,2021-02-08,NOK,0.08123427427684261,0.10148819728666003,0.07990360737312581,0.11905938297944432,0.8388621211051941,0.1492702038923672,0.001330666903716816,0.16330458063618886,24,3.8266334533691406,79270400.0,0.009478747506660223,-0.1288341187364509,-0.016431959399040408,0.04895370329389025,18.188375363460818,0.0
94,2021-02-09,AMC,0.08498383288239232,0.10629875375873592,0.1434034138693214,0.21343848308401359,0.7716127529924433,0.21922323847647904,-0.05841958098692907,0.25622644987760224,344,55.0,10258810.0,-0.11003235147263057,-0.29667516436857977,0.05454545454545445,0.13184287726305916,16.143647504051916,1.0
95,2021-02-09,BB,0.11975029430901388,0.15342364416421644,0.09328446962321413,0.17700571445492738,0.7869652372140151,0.2044340771886474,0.026465824685799746,0.2606652677331699,39,13.430000305175781,23252500.0,-0.023982552195994433,0.16277056999090012,-0.024571847818862347,0.041417141536847585,16.961923254104885,0.0
96,2021-02-09,GME,0.08109941397618387,0.12565019302953795,0.12539971665200303,0.19481080492110542,0.7935008703936168,0.2153780179527696,-0.04430030267581915,0.24716543405534858,808,12.577500343322754,107372400.0,-0.1614999771118164,-0.44099998474121094,0.017690307401202476,0.22839605242008248,18.491813733086346,1.0
97,2021-02-09,NOK,0.11035904151697949,0.17723792664581117,0.13385193624223266,0.2527785478155357,0.7557890291015307,0.27542340386496666,-0.023492894725253198,0.33876614886437134,30,3.763754367828369,83593900.0,-0.016431959399040408,-0.07505535138373187,-0.004773116994260196,0.04117664116099306,18.241481120848164,0.0
98,2021-02-10,GME,0.0709964343912753,0.11819309249557436,0.18132603796673752,0.24014367369638948,0.7476775348916942,0.2507333012069323,-0.11032960357546222,0.283566566064819,51,12.800000190734863,145820000.0,0.017690307401202476,-0.4459474219896298,-0.001953169674379085,0.22732192452639383,18.79788354920033,0.0
99,2021-02-11,AMC,0.09375695313352181,0.12814406469536643,0.11939493431835557,0.19504230479538695,0.7868481125783275,0.21305863579331016,-0.025637981184833774,0.2520532153124648,185,56.099998474121094,5592040.0,-0.0327586469979122,-0.20874474941098176,-0.0035650080870224254,0.06494182328877252,15.536854894771624,0.0
100,2021-02-11,BB,0.1845462111825192,0.272858685653663,0.14537528415934903,0.21731880965620343,0.6700785020711245,0.32078623093671893,0.03917092702317017,0.3747730666141513,27,12.460000038146973,22895500.0,-0.04885498661725618,0.025514438629603786,0.0465489503956944,0.056729342089362464,16.946450986341013,1.0
101,2021-02-11,GME,0.07912775197244701,0.1287620650113821,0.13936215857281645,0.2042080262531657,0.7815100883113894,0.22525078046867997,-0.06023440660036942,0.2565604428112663,470,12.774999618530273,52226800.0,-0.001953169674379085,-0.04485984160521317,0.025440373592499732,0.12914168253415295,17.77110635021201,1.0
102,2021-02-11,NOK,0.10292903493557654,0.18337506381462285,0.13311881337847026,0.16609456042459966,0.7639521496636527,0.22771577755858238,-0.030189778442893705,0.2656560863929082,35,3.6829097270965576,63166100.0,-0.01678679496759594,-0.061784756510644856,0.017073402677746374,0.01622424456657319,17.96127833863343,1.0
103,2021-02-12,AMC,0.09854450544963275,0.13613881215804732,0.11116657509778932,0.17548229698146664,0.7902889189124107,0.19963927471999196,-0.012622069648156578,0.2424866711905193,150,55.900001525878906,4677300.0,-0.0035650080870224254,-0.18155199080272622,0.010733425004350483,0.06751474825870413,15.358231792131289,1.0
104,2021-02-12,BB,0.10392217627285338,0.0863467907889534,0.10816063849549543,0.2205556332470975,0.7879171846924644,0.22470419524292579,-0.004238462222642046,0.24841323172020302,38,13.039999961853027,18222500.0,0.0465489503956944,-0.014361268855432208,-0.06365030108390501,0.042761170476030445,16.718167707115715,0.0
105,2021-02-12,GME,0.10858215445747456,0.18062669339162438,0.13010160679308072,0.19811094043373081,0.7613162401270259,0.24696180731068376,-0.021519452335606152,0.28767648319026146,432,13.100000381469727,58293200.0,0.025440373592499732,-0.17829698683184703,-0.05515273130132281,0.07762314737833549,17.880996023593728,0.0
106,2021-02-12,NOK,0.09507081945143313,0.15907689078793516,0.14789203939068574,0.2255513974540897,0.7570371490943691,0.2635319149513956,-0.0528212199392526,0.28793871735492116,23,3.7457895278930664,50557400.0,0.017073402677746374,-0.011848151353029523,-0.00959246336001951,0.015246005296380536,17.73861990220948,0.0
113,2021-02-16,AMC,0.09709356609603449,0.14722496727828588,0.048338387546868124,0.04875816728179937,0.854568039034975,0.15963610864125172,0.048755178549166354,0.15040416162598136,29,56.5,6116570.0,0.010733425004350483,-0.08576050651279321,-0.017699115044247815,0.06117325707676153,15.626512203347456,0.0
114,2021-02-16,GME,0.09072980764385767,0.15274110288523254,0.11868848910631785,0.18735266562678562,0.7905816986697586,0.22089315544481913,-0.027958681462460184,0.26089834738118717,73,12.3774995803833,32700000.0,-0.05515273130132281,-0.17483336130777993,-0.07210664140280387,0.07734618910189119,17.30288566644852,0.0
